instance,n_cranes,strategy,cost,lb_mc,gap,n_steps,interference,time_s
mc_R021606_004_c3.txt,2,S3,12688.8,11691.8,8.53,98,50.0,0.93
mc_R021606_004_c3.txt,2,S4,12688.8,11691.8,8.53,98,0.0,0.939
mc_R021606_004_c3.txt,3,S1,12732.3,11837.9,7.56,98,66.0,0.979
mc_R021606_004_c3.txt,3,S2,12732.3,11837.9,7.56,98,0.0,0.915
mc_R021606_004_c3.txt,3,S3,12732.3,11837.9,7.56,98,66.0,0.952
mc_R021606_004_c3.txt,3,S4,12688.8,11837.9,7.19,98,0.0,0.94
mc_R021606_005_c2.txt,2,S1,11529.6,11238.9,2.59,86,41.0,0.918
mc_R021606_005_c2.txt,2,S2,11529.6,11238.9,2.59,86,0.0,1.019
mc_R021606_005_c2.txt,2,S3,11529.6,11238.9,2.59,86,41.0,0.855
mc_R021606_005_c2.txt,2,S4,11529.6,11238.9,2.59,86,0.0,0.837
mc_R021606_005_c2.txt,3,S1,11616.6,11368.4,2.18,86,61.0,0.848
mc_R021606_005_c2.txt,3,S2,11529.6,11368.4,1.42,86,0.0,0.856
mc_R021606_005_c2.txt,3,S3,11616.6,11368.4,2.18,86,61.0,0.856
mc_R021606_005_c2.txt,3,S4,11529.6,11368.4,1.42,86,0.0,0.864
mc_R021606_005_c3.txt,2,S1,11529.6,11238.9,2.59,86,41.0,0.883
mc_R021606_005_c3.txt,2,S2,11529.6,11238.9,2.59,86,0.0,0.898
mc_R021606_005_c3.txt,2,S3,11529.6,11238.9,2.59,86,41.0,0.876
mc_R021606_005_c3.txt,2,S4,11529.6,11238.9,2.59,86,0.0,0.915
mc_R021606_005_c3.txt,3,S1,11573.1,11368.4,1.8,86,61.0,0.862
mc_R021606_005_c3.txt,3,S2,11573.1,11368.4,1.8,86,0.0,0.881
mc_R021606_005_c3.txt,3,S3,11573.1,11368.4,1.8,86,61.0,0.877
mc_R021606_005_c3.txt,3,S4,11529.6,11368.4,1.42,86,0.0,0.882
mc_R021608_001_c2.txt,2,S1,17967.3,15641.0,14.87,158,75.0,1.754
mc_R021608_001_c2.txt,2,S2,17967.3,15641.0,14.87,158,0.0,1.532
mc_R021608_001_c2.txt,2,S3,17967.3,15641.0,14.87,158,75.0,1.564
mc_R021608_001_c2.txt,2,S4,17967.3,15641.0,14.87,158,0.0,1.631
mc_R021608_001_c2.txt,3,S1,17967.3,15853.7,13.33,158,109.0,1.58
mc_R021608_001_c2.txt,3,S2,17967.3,15853.7,13.33,158,0.0,1.343
mc_R021608_001_c2.txt,3,S3,17967.3,15853.7,13.33,158,109.0,1.361
mc_R021608_001_c2.txt,3,S4,17967.3,15853.7,13.33,158,0.0,1.381
mc_R021608_001_c3.txt,2,S1,17967.3,15641.0,14.87,158,75.0,1.361
mc_R021608_001_c3.txt,2,S2,17967.3,15641.0,14.87,158,0.0,1.384
mc_R021608_001_c3.txt,2,S3,17967.3,15641.0,14.87,158,75.0,1.368
mc_R021608_001_c3.txt,2,S4,17967.3,15641.0,14.87,158,0.0,1.363
mc_R021608_001_c3.txt,3,S1,17967.3,15853.7,13.33,158,109.0,1.368
mc_R021608_001_c3.txt,3,S2,18010.8,15853.7,13.61,158,0.0,1.338
mc_R021608_001_c3.txt,3,S3,17967.3,15853.7,13.33,158,109.0,1.423
mc_R021608_001_c3.txt,3,S4,17967.3,15853.7,13.33,158,0.0,1.365
mc_R021608_002_c2.txt,2,S1,17465.4,15133.7,15.41,146,68.0,1.255
mc_R021608_002_c2.txt,2,S2,17310.6,15133.7,14.38,146,0.0,1.267
mc_R021608_002_c2.txt,2,S3,17465.4,15133.7,15.41,146,68.0,1.259
mc_R021608_002_c2.txt,2,S4,17310.6,15133.7,14.38,146,0.0,1.281
mc_R021608_002_c2.txt,3,S1,17310.6,15353.8,12.74,146,96.0,1.301
mc_R021608_002_c2.txt,3,S2,17310.6,15353.8,12.74,146,0.0,1.292
mc_R021608_002_c2.txt,3,S3,17310.6,15353.8,12.74,146,96.0,1.237
mc_R021608_002_c2.txt,3,S4,17310.6,15353.8,12.74,146,0.0,1.257
mc_R021608_002_c3.txt,2,S1,17465.4,15133.7,15.41,146,68.0,1.27
mc_R021608_002_c3.txt,2,S2,17310.6,15133.7,14.38,146,0.0,1.264
mc_R021608_002_c3.txt,2,S3,17465.4,15133.7,15.41,146,68.0,1.262
mc_R021608_002_c3.txt,2,S4,17310.6,15133.7,14.38,146,0.0,1.256
mc_R021608_002_c3.txt,3,S1,17354.1,15353.8,13.03,146,96.0,1.24
mc_R021608_002_c3.txt,3,S2,17354.1,15353.8,13.03,146,0.0,1.277
mc_R021608_002_c3.txt,3,S3,17354.1,15353.8,13.03,146,96.0,1.265
mc_R021608_002_c3.txt,3,S4,17310.6,15353.8,12.74,146,0.0,1.235
mc_R021608_003_c2.txt,2,S1,17938.2,16095.9,11.45,147,77.0,1.297
mc_R021608_003_c2.txt,2,S2,17851.2,16095.9,10.91,147,0.0,1.294
mc_R021608_003_c2.txt,2,S3,17938.2,16095.9,11.45,147,77.0,1.279
mc_R021608_003_c2.txt,2,S4,17851.2,16095.9,10.91,147,0.0,1.285
mc_R021608_003_c2.txt,3,S1,17938.2,16303.1,10.03,147,100.0,1.255
mc_R021608_003_c2.txt,3,S2,17851.2,16303.1,9.5,147,0.0,1.269
mc_R021608_003_c2.txt,3,S3,17938.2,16303.1,10.03,147,100.0,1.266
mc_R021608_003_c2.txt,3,S4,17851.2,16303.1,9.5,147,0.0,1.295
mc_R021608_003_c3.txt,2,S1,17938.2,16095.9,11.45,147,77.0,1.318
mc_R021608_003_c3.txt,2,S2,17851.2,16095.9,10.91,147,0.0,1.34
mc_R021608_003_c3.txt,2,S3,17938.2,16095.9,11.45,147,77.0,1.268
mc_R021608_003_c3.txt,2,S4,17851.2,16095.9,10.91,147,0.0,1.248
mc_R021608_003_c3.txt,3,S1,17894.7,16303.1,9.76,147,100.0,1.238
mc_R021608_003_c3.txt,3,S2,17894.7,16303.1,9.76,147,0.0,1.263
mc_R021608_003_c3.txt,3,S3,17894.7,16303.1,9.76,147,100.0,1.242
mc_R021608_003_c3.txt,3,S4,17851.2,16303.1,9.5,147,0.0,1.235
mc_R021608_004_c2.txt,2,S1,17081.4,15524.0,10.03,139,72.0,1.202
mc_R021608_004_c2.txt,2,S2,17081.4,15524.0,10.03,139,0.0,1.144
mc_R021608_004_c2.txt,2,S3,17081.4,15524.0,10.03,139,72.0,1.254
mc_R021608_004_c2.txt,2,S4,17081.4,15524.0,10.03,139,0.0,1.193
mc_R021608_004_c2.txt,3,S1,17081.4,15733.0,8.57,139,92.0,1.195
mc_R021608_004_c2.txt,3,S2,17081.4,15733.0,8.57,139,0.0,1.195
mc_R021608_004_c2.txt,3,S3,17081.4,15733.0,8.57,139,92.0,1.173
mc_R021608_004_c2.txt,3,S4,17081.4,15733.0,8.57,139,0.0,1.195
mc_R021608_004_c3.txt,2,S1,17081.4,15524.0,10.03,139,72.0,1.188
mc_R021608_004_c3.txt,2,S2,17081.4,15524.0,10.03,139,0.0,1.182
mc_R021608_004_c3.txt,2,S3,17081.4,15524.0,10.03,139,72.0,1.19
mc_R021608_004_c3.txt,2,S4,17081.4,15524.0,10.03,139,0.0,1.179
mc_R021608_004_c3.txt,3,S1,17124.9,15733.0,8.85,139,92.0,1.173
mc_R021608_004_c3.txt,3,S2,17124.9,15733.0,8.85,139,0.0,1.189
mc_R021608_004_c3.txt,3,S3,17124.9,15733.0,8.85,139,92.0,1.191
mc_R021608_004_c3.txt,3,S4,17081.4,15733.0,8.57,139,0.0,1.149
mc_R021608_005_c2.txt,2,S1,17661.6,15828.3,11.58,146,69.0,1.245
mc_R021608_005_c2.txt,2,S2,17497.2,15828.3,10.54,146,0.0,1.228
mc_R021608_005_c2.txt,2,S3,17661.6,15828.3,11.58,146,69.0,1.229
mc_R021608_005_c2.txt,2,S4,17497.2,15828.3,10.54,146,0.0,1.268
mc_R021608_005_c2.txt,3,S1,17497.2,16050.3,9.01,146,100.0,1.223
mc_R021608_005_c2.txt,3,S2,17497.2,16050.3,9.01,146,0.0,1.251
mc_R021608_005_c2.txt,3,S3,17497.2,16050.3,9.01,146,100.0,1.234
mc_R021608_005_c2.txt,3,S4,17497.2,16050.3,9.01,146,0.0,1.312
mc_R021608_005_c3.txt,2,S1,17661.6,15828.3,11.58,146,69.0,1.267
