dataset,instance,method,cost,lb,gap,time_s
Lee_random,R061606_0430_003.txt,NearestStack,87086.7,45840.0,89.98,1.523
Lee_random,R061606_0430_003.txt,LowestHeight,83402.1,45840.0,81.94,1.298
Lee_random,R061606_0430_004.txt,OriginalModel,47965.0,45533.4,5.34,9.238
Lee_random,R061606_0430_004.txt,ZeroShot,47466.2,45533.4,4.24,8.388
Lee_random,R061606_0430_004.txt,Lin2015,56258.6,45533.4,23.55,6.029
Lee_random,R061606_0430_004.txt,Kim2016,65811.5,45533.4,44.53,5.225
Lee_random,R061606_0430_004.txt,Leveling,53347.8,45533.4,17.16,10.757
Lee_random,R061606_0430_004.txt,Durasevic2025,67679.7,45533.4,48.64,6.833
Lee_random,R061606_0430_004.txt,NearestStack,86548.8,45533.4,90.08,2.597
Lee_random,R061606_0430_004.txt,LowestHeight,80359.8,45533.4,76.49,2.124
Lee_random,R061606_0430_005.txt,OriginalModel,49053.1,46105.3,6.39,8.777
Lee_random,R061606_0430_005.txt,ZeroShot,48757.7,46105.3,5.75,8.897
Lee_random,R061606_0430_005.txt,Lin2015,56562.0,46105.3,22.68,6.44
Lee_random,R061606_0430_005.txt,Kim2016,68316.2,46105.3,48.17,5.827
Lee_random,R061606_0430_005.txt,Leveling,55368.1,46105.3,20.09,11.567
Lee_random,R061606_0430_005.txt,Durasevic2025,69224.4,46105.3,50.14,7.104
Lee_random,R061606_0430_005.txt,NearestStack,82979.6,46105.3,79.98,2.527
Lee_random,R061606_0430_005.txt,LowestHeight,87712.0,46105.3,90.24,2.28
Lee_random,R061608_0570_001.txt,OriginalModel,68793.8,62023.6,10.92,17.138
Lee_random,R061608_0570_001.txt,ZeroShot,68323.9,62023.6,10.16,16.779
Lee_random,R061608_0570_001.txt,Lin2015,79382.7,62023.6,27.99,18.0
Lee_random,R061608_0570_001.txt,Kim2016,96931.9,62023.6,56.28,8.726
Lee_random,R061608_0570_001.txt,Leveling,78629.2,62023.6,26.77,19.297
Lee_random,R061608_0570_001.txt,Durasevic2025,95958.1,62023.6,54.71,10.613
Lee_random,R061608_0570_001.txt,NearestStack,133709.8,62023.6,115.58,4.415
Lee_random,R061608_0570_001.txt,LowestHeight,132428.6,62023.6,113.51,3.714
Lee_random,R061608_0570_002.txt,OriginalModel,68978.6,62080.0,11.11,27.018
