dataset,instance,method,cost,lb,gap,time_s
Lee_upsidedown,U021608_0190_002.txt,Lin2015,24017.1,18241.5,31.66,2.012
Lee_upsidedown,U021608_0190_002.txt,Kim2016,28984.2,18241.5,58.89,1.792
Lee_upsidedown,U021608_0190_002.txt,Leveling,23316.3,18241.5,27.82,2.861
Lee_upsidedown,U021608_0190_002.txt,Durasevic2025,32541.9,18241.5,78.39,2.109
Lee_upsidedown,U021608_0190_002.txt,NearestStack,36241.2,18241.5,98.67,1.257
Lee_upsidedown,U021608_0190_002.txt,LowestHeight,33354.0,18241.5,82.85,0.945
Lee_upsidedown,U041606_0280_001.txt,OriginalModel,31450.2,30541.8,2.97,5.544
Lee_upsidedown,U041606_0280_001.txt,ZeroShot,30965.0,30541.8,1.39,5.568
Lee_upsidedown,U041606_0280_001.txt,Lin2015,38589.5,30541.8,26.35,3.755
Lee_upsidedown,U041606_0280_001.txt,Kim2016,48292.4,30541.8,58.12,3.477
Lee_upsidedown,U041606_0280_001.txt,Leveling,35131.8,30541.8,15.03,5.399
Lee_upsidedown,U041606_0280_001.txt,Durasevic2025,51881.1,30541.8,69.87,4.211
Lee_upsidedown,U041606_0280_001.txt,NearestStack,56805.5,30541.8,85.99,1.681
Lee_upsidedown,U041606_0280_001.txt,LowestHeight,52188.9,30541.8,70.88,1.324
Lee_upsidedown,U041606_0280_002.txt,OriginalModel,31838.2,30470.2,4.49,5.987
Lee_upsidedown,U041606_0280_002.txt,ZeroShot,31682.7,30470.2,3.98,9.147
Lee_upsidedown,U041606_0280_002.txt,Lin2015,39628.8,30470.2,30.06,2.011
Lee_upsidedown,U041606_0280_002.txt,Kim2016,46389.7,30470.2,52.25,1.545
Lee_upsidedown,U041606_0280_002.txt,Leveling,34886.2,30470.2,14.49,2.399
Lee_upsidedown,U041606_0280_002.txt,Durasevic2025,50935.3,30470.2,67.16,2.024
Lee_upsidedown,U041606_0280_002.txt,NearestStack,55517.9,30470.2,82.2,0.707
Lee_upsidedown,U041606_0280_002.txt,LowestHeight,52968.3,30470.2,73.84,0.568
Lee_upsidedown,U041608_0380_001.txt,OriginalModel,45800.3,43109.9,6.24,4.223
Lee_upsidedown,U041608_0380_001.txt,ZeroShot,45283.6,43109.9,5.04,4.098
Lee_upsidedown,U041608_0380_001.txt,Lin2015,53828.9,43109.9,24.86,2.72
Lee_upsidedown,U041608_0380_001.txt,Kim2016,68634.2,43109.9,59.21,2.204
Lee_upsidedown,U041608_0380_001.txt,Leveling,52258.7,43109.9,21.22,3.517
Lee_upsidedown,U041608_0380_001.txt,Durasevic2025,72511.6,43109.9,68.2,3.08
Lee_upsidedown,U041608_0380_001.txt,NearestStack,83462.5,43109.9,93.6,1.183
Lee_upsidedown,U041608_0380_001.txt,LowestHeight,80197.4,43109.9,86.03,0.955
Lee_upsidedown,U041608_0380_002.txt,OriginalModel,44861.7,42509.7,5.53,4.143
Lee_upsidedown,U041608_0380_002.txt,ZeroShot,44569.0,42509.7,4.84,9.245
Lee_upsidedown,U041608_0380_002.txt,Lin2015,52494.5,42509.7,23.49,9.173
Lee_upsidedown,U041608_0380_002.txt,Kim2016,68563.2,42509.7,61.29,5.185
